Stop Name,Mode,Avg. Delay Seconds
RIBAUCOURT,M,126.508686454
RIBAUCOURT,B,156.979126928
RIETHUISEN,B,132.961127416
RING 0,B,177.054562559
RITTWEGER,T,111.724687557
RITTWEGER,B,176.241531889
RIVE DROITE,B,156.756168360
RIVE GAUCHE,B,170.664970930
ROBIANO,T,87.834628191
ROCHEFORT,T,126.096391888
ROCHEFORT,B,132.537589956
RODIN,B,100.698232599
RODTS,T,106.345049003
ROFFIAEN,T,99.489484127
ROGIER,T,108.529779445
ROGIER,M,126.091434349
ROGIER,B,158.886981402
ROI BAUDOUIN,M,117.824620573
ROI BAUDOUIN,B,147.477399381
ROI VAINQUEUR,B,149.999683544
RONCES,B,192.337770383
ROND-PT SOUVERAIN,T,114.604179761
ROODEBEEK,T,136.319769831
ROODEBEEK,M,89.301309460
ROODEBEEK,B,124.812148538
ROODENBERG,B,108.629565217
ROOSENDAEL,B,141
ROSA PARKS,B,129.532880845
